timestamp,id,complete,frame_count,rec_00,rec_01,rec_02,rec_03,rec_04,rec_05,rec_06,rec_FF
2026-08-04T16:53:52.243209+00:00,170,True,8,02450415BAFFFF,015873A0115500,00090000000000,052E000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:53:52.342492+00:00,170,True,8,02470415BFFFFF,015A73A0115000,00090000000000,0548000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:53:52.441774+00:00,170,True,8,02440415BFFFFF,015B73A0115000,00090000000000,0548000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:53:52.541054+00:00,170,True,8,024704159AFFFF,015973A0117500,00090000000000,0548000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:53:52.640334+00:00,170,True,8,025104157DFFFF,015A73A0119200,00090000000000,0548000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:53:52.739626+00:00,170,True,8,0251041583FFFF,016073A0118C00,00090000000000,0548000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:53:52.838949+00:00,170,True,8,024E04157DFFFF,015E73A0119200,00090000000000,0548000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:53:52.938199+00:00,170,True,8,024E041577FFFF,015C73A0119800,00090000000000,0548000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:53:53.037472+00:00,170,True,8,024E04157DFFFF,015B73A0119200,00090000000000,0548000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:53:53.136752+00:00,170,True,8,024A041596FFFF,015C73A0117900,00090000000000,0548000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:53:53.236036+00:00,170,True,8,024B04158CFFFF,015B73A0118300,00090000000000,0548000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:53:53.335331+00:00,170,True,8,024B0415ADFFFF,015B73A0116200,00090000000000,0548000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:53:53.434612+00:00,170,True,8,02430415B6FFFF,015B73A0115900,00090000000000,052E000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:53:53.533914+00:00,170,True,8,02420415AEFFFF,015973A0116100,00090000000000,0548000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:53:53.633164+00:00,170,True,8,024F041584FFFF,015A73A0118B00,00090000000000,0548000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:53:53.732483+00:00,170,True,8,024E0415A1FFFF,015E73A0116E00,00090000000000,0548000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:53:53.831778+00:00,170,True,8,02400415A7FFFF,015C73A0116800,00090000000000,0548000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:53:53.931121+00:00,170,True,8,023E0415B4FFFF,015473A0115B00,00090000000000,0548000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:53:54.030329+00:00,170,True,8,024904157BFFFF,015673A0119400,00090000000000,0548000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:53:54.129583+00:00,170,True,8,025304157EFFFF,015A73A0119100,00090000000000,0548000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:53:54.228872+00:00,170,True,8,0254041565FFFF,015F73A011AA00,00090000000000,0548000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:53:54.328166+00:00,170,True,8,0251041581FFFF,015D73A0118E00,00090000000000,0548000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:53:54.427434+00:00,170,True,8,02480415A5FFFF,015B73A0116A00,00090000000000,047B000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:53:54.526722+00:00,170,True,8,023E0415D0FFFF,015773A0113F00,00090000000000,0548000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:53:54.625996+00:00,170,True,8,023D0415C2FFFF,015573A0114D00,00090000000000,0548000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:53:54.725299+00:00,170,True,8,023E0415CAFFFF,015473A0114500,00090000000000,0548000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:53:54.824569+00:00,170,True,8,02410415B3FFFF,015873A0115C00,00090000000000,0548000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:53:54.923844+00:00,170,True,8,02490415ABFFFF,015873A0116400,00090000000000,0548000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:53:55.023138+00:00,170,True,8,025304157DFFFF,015C73A0119200,00090000000000,0548000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:53:55.122409+00:00,170,True,8,0255041576FFFF,015D73A0119900,00090000000000,0548000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:53:55.221724+00:00,170,True,8,0250041588FFFF,016073A0118700,00090000000000,0548000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:53:55.320984+00:00,170,True,8,02470415A8FFFF,015A73A0116700,00090000000000,0548000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:53:55.420267+00:00,170,True,8,02460415A7FFFF,015873A0116800,00090000000000,0548000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:53:55.519548+00:00,170,True,8,02460415B6FFFF,015673A0115900,00090000000000,0548000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:53:55.618817+00:00,170,True,8,02460415B6FFFF,015973A0115900,00090000000000,0548000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:53:55.718114+00:00,170,True,8,02440415BAFFFF,015873A0115500,00090000000000,0548000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:53:55.817394+00:00,170,True,8,02420415B8FFFF,015773A0115700,00090000000000,0548000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:53:55.916676+00:00,170,True,8,02450415B1FFFF,015773A0115E00,00090000000000,0548000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:53:56.015965+00:00,170,True,8,024E04158EFFFF,015973A0118100,00090000000000,0548000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:53:56.115243+00:00,170,True,8,025104158FFFFF,015D73A0118000,00090000000000,0548000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:53:56.214539+00:00,170,True,8,024F041597FFFF,015F73A0117800,00090000000000,0548000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:53:56.313817+00:00,170,True,8,02490415B7FFFF,015D73A0115800,00090000000000,052E000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:53:56.413087+00:00,170,True,8,02430415BBFFFF,015A73A0115400,00090000000000,04E2000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:53:56.512395+00:00,170,True,8,02430415BAFFFF,015673A0115500,00090000000000,0548000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:53:56.611657+00:00,170,True,8,02480415B2FFFF,015A73A0115D00,00090000000000,0548000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:53:56.710933+00:00,170,True,8,024A04159EFFFF,015973A0117100,00090000000000,0548000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:53:56.810256+00:00,170,True,8,024B041593FFFF,015B73A0117C00,00090000000000,0548000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:53:56.909508+00:00,170,True,8,024C04158EFFFF,015B73A0118100,00090000000000,0548000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:53:57.008835+00:00,170,True,8,024A041590FFFF,015C73A0117F00,00090000000000,0548000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:53:57.108070+00:00,170,True,8,024804158CFFFF,015873A0118300,00090000000000,0548000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:53:57.207376+00:00,170,True,8,024A04158CFFFF,015873A0118300,00090000000000,0548000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:53:57.306662+00:00,170,True,8,024F04158BFFFF,015B73A0118400,00090000000000,0548000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:53:57.405933+00:00,170,True,8,02490415A7FFFF,015C73A0116800,00090000000000,0548000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:53:57.505220+00:00,170,True,8,023F0415B2FFFF,015973A0115D00,00090000000000,0548000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:53:57.604488+00:00,170,True,8,02430415B1FFFF,015573A0115E00,00090000000000,0548000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:53:57.703779+00:00,170,True,8,025004157EFFFF,015973A0119100,00090000000000,052E000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:53:57.803066+00:00,170,True,8,025704157AFFFF,015E73A0119500,00090000000000,0548000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:53:57.902350+00:00,170,True,8,0252041574FFFF,016173A0119B00,00090000000000,0548000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:53:58.001627+00:00,170,True,8,024804158EFFFF,015A73A0118100,00090000000000,0548000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:53:58.100909+00:00,170,True,8,024404158EFFFF,015773A0118100,00090000000000,0548000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:53:58.200205+00:00,170,True,8,02400415BAFFFF,015773A0115500,00090000000000,0548000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:53:58.299534+00:00,170,True,8,024504158EFFFF,015673A0118100,00090000000000,0548000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:53:58.398762+00:00,170,True,8,025404156AFFFF,015973A011A500,00090000000000,0561000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:53:58.498051+00:00,170,True,8,025904155AFFFF,016073A011B500,00090000000000,0548000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:53:58.597319+00:00,170,True,8,0251041584FFFF,016073A0118B00,00090000000000,0548000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:53:58.696615+00:00,170,True,8,0248041583FFFF,015973A0118C00,00090000000000,052E000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:53:58.795925+00:00,170,True,8,024904159BFFFF,015673A0117400,00090000000000,04AE000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:53:58.895178+00:00,170,True,8,024C041582FFFF,015973A0118D00,00090000000000,0495000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:53:58.994461+00:00,170,True,8,024C0415A2FFFF,015873A0116D00,00090000000000,0548000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:53:59.093742+00:00,170,True,8,024B041591FFFF,015B73A0117E00,00090000000000,0548000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:53:59.193071+00:00,170,True,8,024B04158CFFFF,015873A0118300,00090000000000,0561000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:53:59.292368+00:00,170,True,8,024E041576FFFF,015873A0119900,00090000000000,0548000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:53:59.391592+00:00,170,True,8,024E041588FFFF,015A73A0118700,00090000000000,0561000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:53:59.490929+00:00,170,True,8,02440415B8FFFF,015A73A0115700,00090000000000,0548000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
